         >An anonymous input sequence

            No        Start        Stop         Strand      Length     Z_Index
           84       103591       104226            -          636      0.66973
           85       104291       105016            +          726      0.55672
           86       105261       105464            +          204      0.10058
           87       105518       105763            +          246      0.29247
           88       105767       106408            +          642      0.72680
           89       106720       107223            +          504      0.55667
           90       107266       108324            +         1059      0.68278
           91       108326       109000            +          675      0.71652
           92       109599       110243            -          645      0.31327
           93       110335       110727            +          393      0.55905
           94       111118       111408            +          291      0.01503
           95       111523       112020            +          498      0.35994
           96       112976       113674            +          699      0.59799
           97       113667       114311            +          645      0.29986
           98       114315       114977            +          663      0.71500
           99       115257       115424            +          168      0.14459
          100       115503       116903            -         1401      0.69040
          101       117169       117726            +          558      0.70645
          102       117854       118393            +          540      0.52998
          103       118410       118958            +          549      0.58239
          104       119111       119893            +          783      0.32855
          105       119905       120864            +          960      0.66544
          106       120910       121434            -          525      0.57737
          107       121520       122317            +          798      0.59752
          108       122336       123160            +          825      0.73773
          109       123162       123941            +          780      0.61479
          110       123919       124809            +          891      0.63963
          111       124802       125065            +          264      0.30856
          112       125142       126242            +         1101      0.86907
          113       126257       127027            +          771      0.75991
          114       127165       128892            +         1728      0.84050
          115       128903       130747            +         1845      0.88883
          116       130876       131562            +          687      0.60384
          117       131552       132760            +         1209      0.73310
          118       132797       134347            +         1551      0.70189
          119       134361       135110            +          750      0.55666
          120       135272       136021            +          750      0.38918
          121       136021       136935            +          915      0.83588
          122       136984       138954            +         1971      0.90662
          123       139220       140020            +          801      0.88630
          124       140046       140699            +          654      0.68204
          125       140699       141496            +          798      0.55863
          126       141897       142181            +          285      0.20730
          127       142153       142326            -          174      0.13025
          128       142474       143052            +          579      0.55680
          129       143156       144958            -         1803      0.83467
          130       145279       146577            -         1299      0.23344
          131       146916       148055            +         1140      0.57880
          132       148174       148551            +          378      0.31797
          133       148566       150110            +         1545      0.84900
          134       150137       150919            +          783      0.55687
          135       150922       151413            +          492      0.30847
          136       151999       152514            +          516      0.59935
          137       152517       153143            +          627      0.61366
          138       153176       154738            -         1563      0.67540
          139       154802       155137            -          336      0.67593
          140       155244       155786            +          543      0.55644
          141       155911       156396            +          486      0.46903
          142       156681       157727            +         1047      0.54107
          143       157896       158369            +          474      0.51449
          144       158558       159340            +          783      0.62920
          145       159494       160201            +          708      0.57033
          146       160304       160852            -          549      0.55645
          147       161172       162212            +         1041      0.39547
          148       162212       163066            +          855      0.45560
          149       163076       163843            +          768      0.34014
          150       163847       164623            +          777      0.31840
          151       164654       165313            +          660      0.27797
          152       166570       167697            +         1128      0.02706
          153       178151       178933            +          783      0.55665
          154       179064       179465            -          402      0.12385
          155       179112       179492            +          381      0.54398
          156       179580       180578            +          999      0.50314
          157       180607       180747            +          141      0.23568
          158       181197       181520            +          324      0.17433
          159       181597       182022            +          426      0.39386
          160       182075       182668            -          594      0.60637
          161       182715       183704            -          990      0.62747
          162       183932       184060            -          129      0.06361
          163       184203       184388            -          186      0.35085
          164       185920       187098            +         1179      0.02627
          165       187221       187538            -          318      0.16030
          166       187572       187838            -          267      0.24950
          167       187897       188217            -          321      0.10921
          168       188698       189711            +         1014      0.84202
          169       189817       190407            -          591      0.02529
          170       189862       190209            +          348      0.27001
          171       190312       191115            +          804      0.46195
          172       191587       192015            -          429      0.41419
          173       192085       192267            -          183      0.38846
          174       192489       193673            +         1185      0.60865
          175       193739       194122            +          384      0.17237
          176       194242       194751            +          510      0.55685
          177       194881       195549            +          669      0.55664
          178       195566       196342            +          777      0.46445
          179       196363       197478            +         1116      0.82550
          180       197701       198606            +          906      0.07119
          181       201032       202465            +         1434      0.55703
          182       202486       203397            +          912      0.25891
          183       203414       203878            +          465      0.56327
          184       203946       205208            -         1263      0.55698
          185       205219       205905            -          687      0.55663
          186       207379       208434            +         1056      0.55658
          187       208661       209170            -          510      0.05676
          188       209380       210603            -         1224      0.15841
          189       210866       211615            -          750      0.57455
          190       212063       212704            -          642      0.26529
          191       212783       212983            -          201      0.31025
          192       213402       213851            -          450      0.46787
          193       213961       214389            -          429      0.58649
          194       214577       215284            +          708      0.55683
          195       215295       215459            +          165      0.19665
          196       215456       215749            +          294      0.57013
          197       215903       216064            +          162      0.41065
          198       215988       216647            +          660      0.34687
          199       216647       216814            +          168      0.34290
          200       216957       218936            +         1980      0.55664
          201       218966       219100            +          135      0.02043
          202       219140       219379            +          240      0.06182
          203       219512       220204            -          693      0.60697
          204       220321       220974            -          654      0.57890
          205       220989       221603            -          615      0.65467
          206       221838       224117            +         2280      0.89814
          207       224129       224413            +          285      0.40108
          208       224416       224709            +          294      0.60029
          209       224746       225246            +          501      0.77590
          210       225308       226057            -          750      0.55707
          211       226063       226506            -          444      0.64071
          212       226644       227213            -          570      0.49794
          213       227292       228230            +          939      0.65418
          214       228284       228841            +          558      0.65470
          215       228898       229665            -          768      0.55679
          216       229821       230735            -          915      0.68629
          217       230804       231871            -         1068      0.81331
          218       233219       234814            +         1596      0.74686
          219       235050       235235            +          186      0.46418
          220       235296       235583            +          288      0.32242
          221       235630       235857            +          228      0.26455
          222       235952       236398            -          447      0.50233
          223       236527       237357            -          831      0.68765
          224       237484       238329            +          846      0.55704
          225       238253       238675            +          423      0.33385
          226       238848       239435            +          588      0.76274
          227       239490       239993            +          504      0.57275
          228       239990       240874            -          885      0.60852
          229       240944       241888            +          945      0.53225
          230       241920       242834            +          915      0.67038
          231       243290       243862            +          573      0.55673
          232       243906       247088            +         3183      0.67078
          233       247202       248284            +         1083      0.66346
          234       249803       250474            +          672      0.65664
          235       250483       250980            +          498      0.53507
          236       251021       251881            -          861      0.71422
          237       251884       252687            -          804      0.70143
          238       252894       253487            +          594      0.50868
          239       253487       253981            +          495      0.43044
          240       254225       255532            +         1308      0.71925
          241       255690       256253            +          564      0.28175
          242       256267       257133            +          867      0.81387
          243       262877       264256            -         1380      0.74468
          244       265020       265352            +          333      0.23331
          245       266412       267344            -          933      0.12643
          246       268007       269008            +         1002      0.55631
          247       269030       269842            +          813      0.55680
          248       269871       270785            +          915      0.29373
          249       270795       271163            +          369      0.19719
          250       271321       271683            +          363      0.21779
          251       271734       273104            -         1371      0.62139
          252       273297       274139            +          843      0.61302
          253       274318       274521            +          204      0.05848
          254       274597       274947            +          351      0.03087
          255       275001       275990            -          990      0.70009
          256       276071       279211            -         3141      0.78275
          257       279352       279657            +          306      0.18074
          258       279702       279998            -          297      0.32195
          259       280011       280133            -          123      0.16382
          260       280227       281462            -         1236      0.64218
          261       281776       281916            +          141      0.23860
          262       282018       283013            +          996      0.68907
          263       291702       292277            +          576      0.55680
          264       292295       294016            +         1722      0.89860
          265       294098       295177            -         1080      0.84443
          266       295364       295909            -          546      0.55627
          267       296118       296987            +          870      0.56092
          268       296860       297684            +          825      0.53047
          269       297795       297986            +          192      0.31838
          270       298131       298727            +          597      0.65969
          271       298766       299296            -          531      0.60545
          272       299904       301382            -         1479      0.88829
          273       301550       302413            +          864      0.64332
          274       303205       304095            +          891      0.39953
          275       304230       305123            +          894      0.70670
          276       305422       306789            +         1368      0.64666
          277       306890       307111            +          222      0.06260
          278       307293       308015            -          723      0.61592
          279       308322       308615            -          294      0.22988
          280       308779       310191            -         1413      0.93056
          281       310337       311092            -          756      0.61476
          282       311176       311730            -          555      0.59826
          283       311699       311908            -          210      0.11298
          284       311910       312968            -         1059      0.70130
          285       313029       313547            -          519      0.58323
          286       313549       314130            -          582      0.55664
          287       314348       315088            +          741      0.55705
          288       315148       315828            +          681      0.62215
          289       315849       316034            +          186      0.30424
          290       316234       316911            +          678      0.55706
          291       317083       317544            +          462      0.30253
          292       317657       318403            +          747      0.24791
          293       318343       318591            +          249      0.14567
          294       318666       318878            +          213      0.00501
          295       318944       320293            -         1350      0.87720
          296       320379       320666            -          288      0.10000
          297       320499       320741            +          243      0.12082
          298       320773       321327            +          555      0.79076
          299       321516       322703            +         1188      0.68831
          300       322813       323760            +          948      0.65497
          301       324064       324285            +          222      0.58885
          302       324322       325122            +          801      0.67839
          303       325360       325530            +          171      0.02516
          304       331253       331627            +          375      0.19340
          305       331614       332519            +          906      0.38542
          306       332491       334269            +         1779      0.60078
          307       334377       335765            +         1389      0.59807
          308       335968       336819            +          852      0.74110
          309       336843       337403            +          561      0.67073
          310       337415       339133            +         1719      0.69480
          311       339126       339953            +          828      0.52018
          312       340326       341759            +         1434      0.72849
          313       341921       342424            +          504      0.55641
          314       342492       342764            +          273      0.02940
          315       342516       342698            -          183      0.20902
          316       342695       343294            -          600      0.57015
          317       343672       344130            -          459      0.55705
          318       344084       344494            -          411      0.52321
          319       344758       345879            +         1122      0.63724
          320       346164       347366            +         1203      0.26634
          321       348211       349278            +         1068      0.02238
          322       349294       350151            +          858      0.00027
          323       350148       351329            +         1182      0.21408
          324       351326       352546            +         1221      0.34509
          325       352587       353111            -          525      0.55637
          326       353243       354853            -         1611      0.75483
          327       355227       355595            +          369      0.37976
          328       355597       356295            +          699      0.84258
          329       356295       357131            +          837      0.64142
          330       357277       358779            +         1503      0.77088
          331       358861       359886            -         1026      0.48582
          332       360005       360880            +          876      0.55019
          333       360935       361225            -          291      0.02015
          334       361143       361238            +           96      0.07548
          335       361202       361351            +          150      0.00218
          336       361416       361982            -          567      0.64480
          337       362124       363548            +         1425      0.80962
          338       363541       363984            +          444      0.68643
          339       363971       364720            +          750      0.64210
          340       364814       365401            +          588      0.55672
          341       365469       365684            +          216      0.03904
          342       365904       366626            +          723      0.56583
          343       366729       367028            -          300      0.66626
          344       367012       367662            -          651      0.42451
          345       367382       367927            -          546      0.54498
          346       367912       368280            -          369      0.36042
          347       368147       368467            -          321      0.42562
          348       368642       368791            +          150      0.01383
          349       368798       368968            +          171      0.04780
          350       369060       369614            +          555      0.55627
          351       370249       370944            +          696      0.35221
          352       371107       372111            +         1005      0.67487
          353       372208       373458            -         1251      0.74845
          354       373682       374122            -          441      0.55683
          355       374354       374764            -          411      0.00608
          356       374798       375652            -          855      0.06559
          357       376255       376764            +          510      0.55664
          358       376817       377182            +          366      0.20372
          359       377842       378342            +          501      0.66668
          360       378546       379478            +          933      0.43693
          361       379642       379812            -          171      0.34235
          362       379901       380386            -          486      0.35232
          363       381160       381336            +          177      0.25751
          364       381418       381537            +          120      0.07449
          365       381693       381965            +          273      0.34243
          366       382122       383249            +         1128      0.55659
          367       383349       384467            +         1119      0.60857
          368       384598       384711            -          114      0.19116
          369       385550       385828            +          279      0.05083
          370       385885       388752            +         2868      0.69246
          371       388844       389374            +          531      0.70859
          372       389376       389978            +          603      0.76584
          373       389978       390487            +          510      0.50865
          374       390647       392467            +         1821      0.78054
          375       392539       392868            +          330      0.57238
          376       392912       393469            +          558      0.67443
          377       393471       393707            +          237      0.46361
          378       393837       394475            +          639      0.60736
          379       394487       394813            +          327      0.33353
          380       394813       395685            +          873      0.63826
          381       395700       396032            +          333      0.31404
          382       396032       396895            +          864      0.59159
          383       396892       397641            +          750      0.57951
          384       397684       398214            +          531      0.56495
          385       398299       398829            +          531      0.55688
          386       398847       399569            +          723      0.58988
          387       399574       400104            +          531      0.62244
          388       400107       401147            +         1041      0.75946
          389       401214       403130            -         1917      0.84674
          390       403423       404106            +          684      0.55641
          391       404266       404550            +          285      0.27363
          392       404577       406190            +         1614      0.72553
          393       406329       408899            +         2571      0.81423
          394       408899       410860            +         1962      0.84417
          395       410870       411463            +          594      0.62616
          396       411477       412487            +         1011      0.65004
          397       412576       412971            +          396      0.59059
          398       413064       414512            +         1449      0.66079
          399       414512       415627            +         1116      0.71827
          400       415690       416649            +          960      0.67513
          401       416642       418003            +         1362      0.72497
          402       418242       420875            +         2634      0.92216
          403       420941       421198            +          258      0.38459
          404       421198       421626            +          429      0.58205
          405       421629       421952            +          324      0.37416
          406       422016       424379            +         2364      0.76270
          407       424473       424784            +          312      0.41136
          408       424866       425261            -          396      0.60842
          409       425500       426120            +          621      0.59524
          410       426160       427011            -          852      0.68032
          411       427142       427561            +          420      0.32661
          412       427584       427952            +          369      0.39245
          413       428013       429119            -         1107      1.00000
          414       429272       430273            +         1002      0.82384
          415       430380       430712            +          333      0.49585
